variable,value
ISNIAssigned,49935
assignedConfidence,49935
duplicate-10-records-ZETO,2
duplicate-11-records-ZETO,2
duplicate-12-records-ZETO,3
duplicate-13-records-ZETO,6
duplicate-15-records-ZETO,1
duplicate-2-records-BAnQ,4
duplicate-2-records-BL,1
duplicate-2-records-BLSA,1
duplicate-2-records-BNF,211
duplicate-2-records-BNL,2
duplicate-2-records-BOEK,1
duplicate-2-records-CDR,1
duplicate-2-records-CEDA,12
duplicate-2-records-DAI,6
duplicate-2-records-ETHOS,1
duplicate-2-records-ISNI,50
duplicate-2-records-KBR,1091
duplicate-2-records-LCNACO,58
duplicate-2-records-MUBZ,16
duplicate-2-records-NLFIN,2
duplicate-2-records-NLN,221
duplicate-2-records-NLS,3
duplicate-2-records-NTA,218
duplicate-2-records-OCLCT,1319
duplicate-2-records-VIAF,652
duplicate-2-records-ZETO,63
duplicate-20-records-ZETO,1
duplicate-23-records-ZETO,1
duplicate-24-records-ZETO,1
duplicate-28-records-ZETO,1
duplicate-3-records-BNF,4
duplicate-3-records-ISNI,2
duplicate-3-records-KBR,3
duplicate-3-records-MUBZ,2
duplicate-3-records-NTA,5
duplicate-3-records-OCLCT,14
duplicate-3-records-VIAF,48
duplicate-3-records-ZETO,30
duplicate-38-records-ZETO,1
duplicate-4-records-CDR,1
duplicate-4-records-CEDA,1
duplicate-4-records-ISNI,1
duplicate-4-records-NLFIN,1
duplicate-4-records-OCLCT,7
duplicate-4-records-VIAF,8
duplicate-4-records-ZETO,20
duplicate-5-records-VIAF,3
duplicate-5-records-ZETO,16
duplicate-6-records-ISNI,1
duplicate-6-records-VIAF,1
duplicate-6-records-ZETO,11
duplicate-7-records-ZETO,5
duplicate-8-records-BOWKER,1
duplicate-8-records-ZETO,2
duplicate-9-records-ZETO,4
duplicate-records-BAnQ,4
duplicate-records-BL,1
duplicate-records-BLSA,1
duplicate-records-BNF,219
duplicate-records-BNL,2
duplicate-records-BOEK,1
duplicate-records-BOWKER,7
duplicate-records-CDR,4
duplicate-records-CEDA,15
duplicate-records-DAI,6
duplicate-records-ETHOS,1
duplicate-records-ISNI,62
duplicate-records-KBR,1097
duplicate-records-LCNACO,58
duplicate-records-MUBZ,20
duplicate-records-NLFIN,5
duplicate-records-NLN,221
duplicate-records-NLS,3
duplicate-records-NTA,228
duplicate-records-OCLCT,1368
duplicate-records-VIAF,789
duplicate-records-ZETO,663
multipleAssociatedCountries,34796
multipleGenders,34796
multipleNationalities,34796
name-language-ara,3
name-language-dut,7
name-language-eng,1
name-language-fre,59
name-language-geo,1
name-language-ger,3
name-language-lat,17
name-language-mac,1
name-language-rus,1
name-language-spa,2
name-language-srp,1
numberOfOrgs,15127
numberOfPersons,34808
organisation,15127
person-associated-AD,9
person-associated-AE,3
person-associated-AF,2
person-associated-AG,4
person-associated-AI,1
person-associated-AL,12
person-associated-AM,2
person-associated-AO,2
person-associated-AR,151
person-associated-AS,1
person-associated-AT,865
person-associated-AU,175
person-associated-AZ,1
person-associated-BA,14
person-associated-BB,2
person-associated-BD,25
person-associated-BE,56180
person-associated-BF,4
person-associated-BG,57
person-associated-BH,1
person-associated-BI,14
person-associated-BJ,2
person-associated-BM,2
person-associated-BO,2
person-associated-BR,437
person-associated-BS,1
person-associated-BY,25
person-associated-BZ,7
person-associated-CA,1915
person-associated-CD,200
person-associated-CF,1
person-associated-CG,20
person-associated-CH,3642
person-associated-CI,7
person-associated-CL,42
person-associated-CM,20
person-associated-CN,143
person-associated-CO,47
person-associated-CR,7
person-associated-CS,89
person-associated-CU,12
person-associated-CV,1
person-associated-CW,11
person-associated-CY,8
person-associated-CZ,543
person-associated-DE,11606
person-associated-DK,578
person-associated-DO,7
person-associated-DZ,20
person-associated-EC,16
person-associated-EE,14
person-associated-EG,103
person-associated-ES,2038
person-associated-ET,6
person-associated-FI,153
person-associated-FO,3
person-associated-FR,29118
person-associated-GA,4
person-associated-GB,6708
person-associated-GE,17
person-associated-GF,3
person-associated-GH,1
person-associated-GL,1
person-associated-GN,2
person-associated-GP,4
person-associated-GQ,13
person-associated-GR,146
person-associated-GT,3
person-associated-GW,22
person-associated-HK,8
person-associated-HN,4
person-associated-HR,305
person-associated-HT,4
person-associated-HU,248
person-associated-ID,59
person-associated-IE,188
person-associated-IL,153
person-associated-IN,160
person-associated-IQ,2
