variable,value
unique unformatted ISNI numbers 55763,
ISNIAssigned,55763
assignedConfidence,55763
duplicate-10-records-ZETO,2
duplicate-11-records-ZETO,2
duplicate-12-records-ZETO,3
duplicate-13-records-ZETO,6
duplicate-15-records-ZETO,1
duplicate-2-records-BAnQ,4
duplicate-2-records-BL,1
duplicate-2-records-BLSA,1
duplicate-2-records-BNF,229
duplicate-2-records-BNL,3
duplicate-2-records-BOEK,1
duplicate-2-records-CDR,1
duplicate-2-records-CEDA,14
duplicate-2-records-DAI,6
duplicate-2-records-ETHOS,1
duplicate-2-records-ISNI,51
duplicate-2-records-KBR,762
duplicate-2-records-LCNACO,64
duplicate-2-records-MUBZ,18
duplicate-2-records-NLFIN,1
duplicate-2-records-NLN,222
duplicate-2-records-NLS,3
duplicate-2-records-NTA,240
duplicate-2-records-VIAF,725
duplicate-2-records-ZETO,68
duplicate-20-records-ZETO,1
duplicate-23-records-ZETO,1
duplicate-24-records-ZETO,1
duplicate-28-records-ZETO,1
duplicate-3-records-BNF,4
duplicate-3-records-ISNI,2
duplicate-3-records-MUBZ,2
duplicate-3-records-NTA,6
duplicate-3-records-VIAF,60
duplicate-3-records-ZETO,31
duplicate-38-records-ZETO,1
duplicate-4-records-CDR,1
duplicate-4-records-CEDA,1
duplicate-4-records-ISNI,1
duplicate-4-records-NLFIN,1
duplicate-4-records-VIAF,13
duplicate-4-records-ZETO,23
duplicate-5-records-VIAF,3
duplicate-5-records-ZETO,16
duplicate-6-records-ISNI,1
duplicate-6-records-VIAF,1
duplicate-6-records-ZETO,11
duplicate-7-records-ZETO,7
duplicate-8-records-BOWKER,1
duplicate-8-records-TEL,1
duplicate-8-records-ZETO,2
duplicate-9-records-ZETO,4
duplicate-records-BAnQ,4
duplicate-records-BL,1
duplicate-records-BLSA,1
duplicate-records-BNF,237
duplicate-records-BNL,3
duplicate-records-BOEK,1
duplicate-records-BOWKER,7
duplicate-records-CDR,4
duplicate-records-CEDA,17
duplicate-records-DAI,6
duplicate-records-ETHOS,1
duplicate-records-ISNI,63
duplicate-records-KBR,762
duplicate-records-LCNACO,64
duplicate-records-MUBZ,22
duplicate-records-NLFIN,4
duplicate-records-NLN,222
duplicate-records-NLS,3
duplicate-records-NTA,252
duplicate-records-TEL,7
duplicate-records-VIAF,901
duplicate-records-ZETO,691
multipleAssociatedCountries,38220
multipleGenders,38220
multipleNationalities,38220
name-language-ara,2
name-language-dut,9
name-language-eng,3
name-language-fre,71
name-language-geo,1
name-language-ger,3
name-language-hin,1
name-language-lat,18
name-language-mac,1
name-language-rus,1
name-language-spa,2
name-language-srp,1
numberOfOrgs,17529
numberOfPersons,38234
organisation,17529
person-associated-AD,9
person-associated-AE,3
person-associated-AF,2
person-associated-AG,4
person-associated-AI,1
person-associated-AL,12
person-associated-AM,2
person-associated-AO,2
