variable,value
ISNIAssigned,49319
assignedConfidence,49319
duplicate-10-records-ZETO,2
duplicate-11-records-ZETO,2
duplicate-12-records-ZETO,3
duplicate-13-records-ZETO,6
duplicate-15-records-ZETO,1
duplicate-2-records-BAnQ,4
duplicate-2-records-BL,1
duplicate-2-records-BLSA,1
duplicate-2-records-BNF,209
duplicate-2-records-BNL,2
duplicate-2-records-BOEK,1
duplicate-2-records-CDR,1
duplicate-2-records-CEDA,12
duplicate-2-records-DAI,6
duplicate-2-records-ETHOS,1
duplicate-2-records-ISNI,50
duplicate-2-records-KBR,1139
duplicate-2-records-LCNACO,58
duplicate-2-records-MUBZ,15
duplicate-2-records-NLFIN,2
duplicate-2-records-NLN,221
duplicate-2-records-NLS,3
duplicate-2-records-NTA,212
duplicate-2-records-OCLCT,1316
duplicate-2-records-VIAF,639
duplicate-2-records-ZETO,62
duplicate-20-records-ZETO,1
duplicate-23-records-ZETO,1
duplicate-24-records-ZETO,1
duplicate-28-records-ZETO,1
duplicate-3-records-BNF,4
duplicate-3-records-ISNI,2
duplicate-3-records-MUBZ,2
duplicate-3-records-NTA,5
duplicate-3-records-OCLCT,14
duplicate-3-records-VIAF,48
duplicate-3-records-ZETO,29
duplicate-38-records-ZETO,1
duplicate-4-records-CDR,1
duplicate-4-records-CEDA,1
duplicate-4-records-ISNI,1
duplicate-4-records-NLFIN,1
duplicate-4-records-OCLCT,7
duplicate-4-records-VIAF,8
duplicate-4-records-ZETO,20
duplicate-5-records-VIAF,3
duplicate-5-records-ZETO,16
duplicate-6-records-ISNI,1
duplicate-6-records-VIAF,1
duplicate-6-records-ZETO,11
duplicate-7-records-ZETO,5
duplicate-8-records-BOWKER,1
duplicate-8-records-ZETO,2
duplicate-9-records-ZETO,4
duplicate-records-BAnQ,4
duplicate-records-BL,1
duplicate-records-BLSA,1
duplicate-records-BNF,217
duplicate-records-BNL,2
duplicate-records-BOEK,1
duplicate-records-BOWKER,7
duplicate-records-CDR,4
duplicate-records-CEDA,15
duplicate-records-DAI,6
duplicate-records-ETHOS,1
duplicate-records-ISNI,62
duplicate-records-KBR,1139
duplicate-records-LCNACO,58
duplicate-records-MUBZ,19
duplicate-records-NLFIN,5
duplicate-records-NLN,221
duplicate-records-NLS,3
duplicate-records-NTA,222
duplicate-records-OCLCT,1365
duplicate-records-VIAF,776
duplicate-records-ZETO,660
multipleAssociatedCountries,34532
multipleGenders,34532
multipleNationalities,34532
name-language-ara,3
name-language-dut,8
name-language-eng,2
name-language-fre,58
name-language-geo,1
name-language-ger,3
name-language-lat,16
name-language-mac,1
name-language-rus,1
name-language-spa,2
name-language-srp,1
numberOfOrgs,14770
numberOfPersons,34549
organisation,14770
person-associated-AD,9
person-associated-AE,3
person-associated-AF,2
person-associated-AG,4
person-associated-AI,1
person-associated-AL,12
person-associated-AM,2
person-associated-AO,2
person-associated-AR,151
person-associated-AS,1
person-associated-AT,866
person-associated-AU,177
person-associated-AZ,1
person-associated-BA,14
person-associated-BB,2
person-associated-BD,24
person-associated-BE,56198
person-associated-BF,4
person-associated-BG,57
person-associated-BH,1
person-associated-BI,14
person-associated-BJ,2
person-associated-BM,2
person-associated-BO,2
person-associated-BR,440
person-associated-BS,1
person-associated-BY,25
person-associated-BZ,7
person-associated-CA,1916
person-associated-CD,200
person-associated-CF,1
person-associated-CG,20
person-associated-CH,3638
person-associated-CI,7
person-associated-CL,42
person-associated-CM,20
person-associated-CN,143
person-associated-CO,47
person-associated-CR,7
person-associated-CS,89
person-associated-CU,12
person-associated-CV,1
person-associated-CW,11
person-associated-CY,8
person-associated-CZ,543
person-associated-DE,11611
person-associated-DK,579
person-associated-DO,7
person-associated-DZ,20
person-associated-EC,16
person-associated-EE,14
person-associated-EG,103
person-associated-ES,2036
person-associated-ET,6
person-associated-FI,149
person-associated-FO,3
person-associated-FR,29161
person-associated-GA,4
person-associated-GB,6706
person-associated-GE,17
person-associated-GF,3
person-associated-GH,1
person-associated-GL,1
person-associated-GN,2
person-associated-GP,4
person-associated-GQ,13
person-associated-GR,146
person-associated-GT,3
person-associated-GW,22
person-associated-HK,8
person-associated-HN,4
person-associated-HR,305
person-associated-HT,4
person-associated-HU,250
person-associated-ID,59
person-associated-IE,188
person-associated-IL,153
person-associated-IN,160
person-associated-IQ,2
person-associated-IR,16
person-associated-IS,6
person-associated-IT,3512
person-associated-JE,1
person-associated-JM,4
person-associated-JP,660
person-associated-KE,12
person-associated-KH,2
person-associated-KI,790
person-associated-KP,3
person-associated-KR,12
person-associated-KW,2
person-associated-LB,70
person-associated-LI,56
person-associated-LK,5
person-associated-LR,15
person-associated-LT,41
person-associated-LU,575
person-associated-LV,86
person-associated-LY,2
person-associated-MA,18
person-associated-MC,294
person-associated-MD,2
person-associated-ME,1
person-associated-MG,4
person-associated-MK,10
person-associated-ML,6
person-associated-MM,36
person-associated-MN,3
person-associated-MO,1
person-associated-MR,1
person-associated-MT,5
person-associated-MU,2
person-associated-MV,9
person-associated-MX,128
person-associated-MY,2
person-associated-MZ,3
person-associated-NC,1465
person-associated-NE,77
person-associated-NG,10
person-associated-NI,7
person-associated-NL,14220
person-associated-NO,92
person-associated-NP,1
person-associated-NR,1
person-associated-NZ,13
person-associated-PA,2
person-associated-PE,35
person-associated-PF,1
person-associated-PH,5
person-associated-PK,6
person-associated-PL,1732
person-associated-PR,4
person-associated-PT,722
person-associated-PY,7
person-associated-QA,1
person-associated-RE,12
person-associated-RO,105
person-associated-RS,10
person-associated-RU,450
person-associated-RW,25
person-associated-SA,30
person-associated-SC,23
person-associated-SE,367
person-associated-SG,104
person-associated-SI,45
person-associated-SK,63
person-associated-SL,3
person-associated-SN,48
person-associated-SR,18
person-associated-SV,103
person-associated-SY,22
person-associated-SZ,6
person-associated-TD,17
person-associated-TG,1
person-associated-TH,29
person-associated-TJ,6
person-associated-TL,28
person-associated-TN,21
person-associated-TR,123
person-associated-TT,6
person-associated-TW,566
person-associated-TZ,8
person-associated-UA,78
person-associated-UG,5
person-associated-UM,1
person-associated-US,6788
person-associated-UY,13
person-associated-VA,159
person-associated-VC,1
person-associated-VE,46
