Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"NAME";"DESCRIPTION";
;"501 Milieuwetenschappen. Milieubescherming. Ecologie.";;;;;;;;;"LEXICON_00000053";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"510 Wiskunde.";;;;;;;;;"LEXICON_00000054";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"520 Astronomie. Astrofysica. Ruimteonderzoek.";;;;;;;;;"LEXICON_00000055";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"530 Fysica.";;;;;;;;;"LEXICON_00000056";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"540 Chemie, mineralogie, kristallografie.";;;;;;;;;"LEXICON_00000057";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"550 Aardwetenschappen, geologie, vulkanisme. Meteorologie.";;;;;;;;;"LEXICON_00000058";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"560 Paleontologie. Fossielen.";;;;;;;;;"LEXICON_00000059";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"570 Biologie. Antropologie. Evolutie.";;;;;;;;;"LEXICON_00000060";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"580 Botanica.";;;;;;;;;"LEXICON_00000061";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"590 Zoölogie. ";;;;;;;;;"LEXICON_00000062";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"600 Toegepaste wetenschappen. Geneeskunde. Technieken";;;;;;;;;;"LEXICON_00000012";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"610 Geneeskunde. Farmacie. Hygiëne. Paramedische wetenschappen. Diergeneeskunde.";;;;;;;;;"LEXICON_00000063";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"620 Ingenieurswetenschappen.";;;;;;;;;"LEXICON_00000064";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"630 Landbouw. Tuinbouw. Tuinieren. Teelt. Jacht. Visvangst. Bosbouw.";;;;;;;;;"LEXICON_00000065";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"640 Binnenlandse economie. Huishoudwetenschappen. Hotelwezen. Kookboeken.";;;;;;;;;"LEXICON_00000066";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"650 Bedrijfsbeheer en -organisatie. Handelszaken. Vervoer. Verkeer. (technische invalshoek).";;;;;;;;;"LEXICON_00000067";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"660 Beheer en organisatie van de industrieën (chemische en aanverwante).";;;;;;;;;"LEXICON_00000068";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"670 Ambachten. Beroepen. (Precisie-instrumenten, muziekinstrumenten, optische instrumenten, instrumenten voor grafische reproductie…).";;;;;;;;;"LEXICON_00000069";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"680 Informatica.";;;;;;;;;"LEXICON_00000070";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"690 Bouw. Constructie.";;;;;;;;;"LEXICON_00000071";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"700 Kunsten (algemeen).";;;;;;;;;;"LEXICON_00000013";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"710 Stedenbouw en bouwkunde.";;;;;;;;;"LEXICON_00000072";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"711 Design, interieurarchitectuur, decoratie.";;;;;;;;"LEXICON_00000073";"NT";"";"Standard";"";"";"";"";"-1";"";"";
