Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"NAME";"DESCRIPTION";
;"520 Astronomie. Astrophysique. Recherche spatiale.";;;;;;;;;"LEXICON_00000055";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"530 Physique.";;;;;;;;;"LEXICON_00000056";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"540 Chimie, minéralogie, cristallographie.";;;;;;;;;"LEXICON_00000057";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"550 Sciences de la Terre, géologie, volcanisme. Météorologie.";;;;;;;;;"LEXICON_00000058";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"560 Paléontologie. Fossiles.";;;;;;;;;"LEXICON_00000059";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"570 Biologie. Anthropologie. Evolution.";;;;;;;;;"LEXICON_00000060";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"580 Botanique. ";;;;;;;;;"LEXICON_00000061";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"590 Zoologie. ";;;;;;;;;"LEXICON_00000062";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"600   Sciences appliquées. Médecine. Techniques.";;;;;;;;;;"LEXICON_00000012";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"610 Médecine. Pharmacie. Hygiène. Sciences paramédicales. Médecine vétérinaire.";;;;;;;;;"LEXICON_00000063";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"620 Sciences de l'ingénieur.";;;;;;;;;"LEXICON_00000064";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"630 Agriculture. Horticulture. Jardinage. Elevage. Chasse. Pêche. Sylviculture.";;;;;;;;;"LEXICON_00000065";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"640 Economie domestique. Science ménagère. Hôtellerie. Livres de cuisine.";;;;;;;;;"LEXICON_00000066";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"650 Gestion et organisation des entreprises. Commerces. Transports. Communications.  (Point de vue technique).         ";;;;;;;;;"LEXICON_00000067";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"660 Gestion et organisation des industries (chimiques et apparentées). ";;;;;;;;;"LEXICON_00000068";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"670 Artisans. Métiers. (Instruments de précision, de musique, d’optiques, de reproduction graphique …).";;;;;;;;;"LEXICON_00000069";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"680 Informatique.";;;;;;;;;"LEXICON_00000070";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"690 Bâtiment. Construction.";;;;;;;;;"LEXICON_00000071";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"700  Arts (généralités). ";;;;;;;;;;"LEXICON_00000013";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"710 Urbanisme et architecture.";;;;;;;;;"LEXICON_00000072";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"711 Design, architecture d’intérieur, décoration.";;;;;;;;"LEXICON_00000073";"NT";"";"Standard";"";"";"";"";"-1";"";"";
