Niveau_0;Niveau_1;Niveau_2;Niveau_3;Niveau_4;Niveau_5;Niveau_6;Niveau_7;Niveau_8;Niveau_9;"Identifiant";"Type";"Microthésaurus";"Statut";"Définition";"Note d'application";"Synonymes";"Relatifs";"Fiches associées";"NAME";"DESCRIPTION";
;"550 Earth sciences, geology, volcanism. Meteorology.";;;;;;;;;"LEXICON_00000058";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"560 Paleontology. Fossils.";;;;;;;;;"LEXICON_00000059";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"570 Biology. Anthropology. Evolution.";;;;;;;;;"LEXICON_00000060";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"580 Botany.";;;;;;;;;"LEXICON_00000061";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"590 Zoology.";;;;;;;;;"LEXICON_00000062";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"600  Applied sciences. Medicine. Techniques.";;;;;;;;;;"LEXICON_00000012";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"610 Medicine. Pharmacy. Hygiene. Paramedical sciences. Veterinary medicine. ";;;;;;;;;"LEXICON_00000063";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"620 Engineering sciences.";;;;;;;;;"LEXICON_00000064";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"630 Agriculture. Horticulture. Gardening. Growing. Hunting. Fishing. Silviculture.";;;;;;;;;"LEXICON_00000065";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"640 Domestic economics. Housekeeping sciences. Hotels. Cookery books.";;;;;;;;;"LEXICON_00000066";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"650 Management of organisations. Commerce. Transport. Communication. (Technical perspective).";;;;;;;;;"LEXICON_00000067";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"660 Management and organisation of industries (chemical and related).";;;;;;;;;"LEXICON_00000068";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"670 Artisans. Crafts. (Instruments of precision, music, optics, graphic reproduction…).";;;;;;;;;"LEXICON_00000069";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"680 Computer science.";;;;;;;;;"LEXICON_00000070";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"690 Building. Construction.";;;;;;;;;"LEXICON_00000071";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"700  Arts (generalities).";;;;;;;;;;"LEXICON_00000013";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"710 Urbanism and architecture.";;;;;;;;;"LEXICON_00000072";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"711 Design, interior architecture, decoration.";;;;;;;;"LEXICON_00000073";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"720 Plastic arts, sculpture, crafts (ceramics, bookbinding, basket weaving,…)";;;;;;;;;"LEXICON_00000074";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"730 Decorative arts, drawing, painting.";;;;;;;;;"LEXICON_00000075";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"740 Graphic arts, photography, engravings.";;;;;;;;;"LEXICON_00000076";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"750 Show (generalities). Stage arts.";;;;;;;;;"LEXICON_00000077";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"751 Theater, dance, circus arts.";;;;;;;;"LEXICON_00000078";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"752 Audiovisual (TV, movie theater,…)";;;;;;;;"LEXICON_00000079";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"760 Music.";;;;;;;;;"LEXICON_00000081";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"770 Sports";;;;;;;;;"LEXICON_00000082";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"Arts martiaux";;;;;;;;"771";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"780 Games, videogames.";;;;;;;;;"LEXICON_00000083";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"790 Creative pastimes. ";;;;;;;;;"LEXICON_00000084";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"800  Literature. History and literary criticism.";;;;;;;;;;"LEXICON_00000014";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"810 Poetry.";;;;;;;;;"LEXICON_00000085";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"820 Theater.";;;;;;;;;"LEXICON_00000086";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"830 Novel.";;;;;;;;;"LEXICON_00000087";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"840 Literary essays.";;;;;;;;;"LEXICON_00000088";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"850 Comics.";;;;;;;;;"LEXICON_00000090";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"851 Manga.";;;;;;;;"LEXICON_00000091";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"860 Juvenile literature.";;;;;;;;;"LEXICON_00000092";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"870 Linguistics. Philology.";;;;;;;;;"LEXICON_00000093";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"871 Germanic languages";;;;;;;;"LEXICON_00000094";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"872 Romance languages";;;;;;;;"LEXICON_00000095";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"873 Other languages";;;;;;;;"LEXICON_00000096";"NT";"";"Standard";"";"";"";"";"-1";"";"";
"900  History and geography (generalities).";;;;;;;;;;"LEXICON_00000015";"MT";"";"Standard";"";"";"";"";"-1";"";"";
;"910 Geography";;;;;;;;;"LEXICON_00000097";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"911 Geography of Belgium. Monographs.";;;;;;;;"LEXICON_00000107";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"912 Tourism (guides) and travels.";;;;;;;;"LEXICON_00000108";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"920 Biographies, correspondence, genealogies and heraldry.";;;;;;;;;"LEXICON_00000098";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"930 Archeology.";;;;;;;;;"LEXICON_00000099";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"940 Numismatics, sigillography.";;;;;;;;;"LEXICON_00000100";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"950 History.";;;;;;;;;"LEXICON_00000101";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"951 Prehistory and ancient history.";;;;;;;;"LEXICON_00000103";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"952 Medieval history.";;;;;;;;"LEXICON_00000104";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"953 Modern history (15th-19th c.)";;;;;;;;"LEXICON_00000105";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;;"954 Contemporary history (20th-21st c.)";;;;;;;;"LEXICON_00000106";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"960 History of Belgium since 1830.";;;;;;;;;"LEXICON_00000102";"NT";"";"Standard";"";"";"";"";"-1";"";"";
;"970 Local history";;;;;;;;;"LEXICON_00000109";"NT";"";"Standard";"";"";"";"";"-1";"";"";
