date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withMultipleSourceKBRIdentifiers,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourceYearOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2025-10-24,2025-10-24 16:56:32.803083,FR-NL,10082,8481,8136,8938,39,1984,2627,6962,1,3,23,1476,528,3,7,660,10070,158,4895,4,9690,0,0,0,0,3028,2969,0,0,0,0,7801,3624,4623,1982,404,9949,6913,9985,4602,7693,9985,7693,Final version with manually added sourcePublisher and sourcePlace/sourceCountry info
2025-10-24,2025-10-24 16:56:33.481859,NL-FR,4647,3978,3945,4356,1128,663,1311,2372,129,209,1049,532,255,222,375,273,4641,75,3060,1,4290,0,0,0,0,2490,2485,0,0,0,0,4155,2352,1105,159,104,4603,3299,4607,2970,3483,4607,3483,Final version with manually added sourcePublisher and sourcePlace/sourceCountry info
2025-10-24,2025-10-24 16:56:33.793494,OTHER,395,296,295,389,76,8,139,128,2,2,74,8,5,2,15,5,394,9,50,0,285,0,0,0,0,26,26,0,0,0,0,374,295,78,2,32,394,45,389,50,66,389,66,Final version with manually added sourcePublisher and sourcePlace/sourceCountry info
