date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withMultipleSourceKBRIdentifiers,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourceYearOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2024-02-08,2025-10-24 16:56:18.818062,FR-NL,9765,7755,7761,7928,40,2078,2778,6140,1,3,22,1364,422,3,5,538,9738,1400,1749,0,4717,0,0,0,0,1300,1325,0,0,0,0,8777,3404,1723,796,374,9031,1644,3599,1749,1796,3599,1796,More curated data and new role adaptor
2024-02-08,2025-10-24 16:56:19.468118,NL-FR,4454,3699,3722,4036,1121,673,1308,2242,113,198,1014,512,224,216,349,248,4444,1455,1627,0,2495,0,0,0,0,1396,1398,0,0,0,0,4244,2325,736,91,97,4001,1536,2086,1627,1609,2086,1609,More curated data and new role adaptor
2024-02-08,2025-10-24 16:56:19.755428,OTHER,412,313,313,398,91,12,138,130,3,4,89,12,6,4,16,6,411,23,32,0,122,0,0,0,0,18,18,0,0,0,0,393,303,77,1,35,395,26,63,32,31,63,31,More curated data and new role adaptor
