date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2022-08-08,2024-07-03 18:45:03.188567,FR-NL,8458,7588,7593,7553,51,2278,0,5778,0,4,13,1411,0,4,0,0,7360,0,189,0,2603,2278,0,0,137,155,7515,51,2269,0,7605,2415,1594,712,336,0,0,8397,0,8435,0,Added source links KBR identified via exact title match or 0.9 similarity
2022-08-08,2024-07-03 18:45:03.680433,NL-FR,4019,3428,3452,3535,1209,742,0,1800,0,210,933,497,0,247,0,0,2938,0,212,0,1199,742,0,0,188,190,3437,1208,730,0,3872,1922,632,69,82,0,0,3995,0,3985,0,Added source links KBR identified via exact title match or 0.9 similarity
2022-08-08,2024-07-03 18:45:03.922434,OTHER,563,445,460,557,77,11,0,117,0,2,71,10,0,3,0,0,273,0,5,0,12,11,0,0,3,3,289,77,11,0,493,213,154,38,32,0,0,305,0,315,0,Added source links KBR identified via exact title match or 0.9 similarity
