date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,comment
2023-12-07,2023-12-08 00:13:12.784996,FR-NL,10028,7743,7749,7888,41,2100,2853,2,4,23,1365,370,4,4,421,8942,1663,4819,0,0,0,0,1229,1255,0,0,0,0,9053,3540,1709,785,374,9318,"More curated data, mainly genre and organizations"
2023-12-07,2023-12-08 00:13:13.161127,NL-FR,4724,3690,3714,4029,1140,696,1324,60,205,1041,529,147,218,252,154,4150,1603,2640,0,0,0,0,1388,1389,0,0,0,0,4512,2496,731,96,96,4482,"More curated data, mainly genre and organizations"
2023-12-07,2023-12-08 00:13:13.330381,OTHER,419,314,314,401,94,16,121,2,5,91,16,3,5,14,3,390,39,123,0,0,0,0,22,23,0,0,0,0,399,308,77,2,34,414,"More curated data, mainly genre and organizations"
