date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2022-06-16,2024-04-26 16:35:27.013911,FR-NL,6715,6069,6071,5980,57,1873,0,4516,0,4,12,1183,0,4,0,0,5842,0,112,0,2384,1873,0,0,80,97,5944,57,1865,0,6052,2026,1275,532,290,0,0,6670,0,6697,0,Removed duplicate manifestations with the same ISBN10/ISBN13
2022-06-16,2024-04-26 16:35:27.255251,NL-FR,3597,3065,3089,3115,1141,631,0,1608,0,174,858,393,0,213,0,0,2601,0,142,0,1060,631,0,0,127,127,3020,1140,619,0,3474,1738,574,66,66,0,0,3578,0,3562,0,Removed duplicate manifestations with the same ISBN10/ISBN13
2022-06-16,2024-04-26 16:35:27.399592,OTHER,231,185,185,225,58,10,0,90,0,1,52,9,0,2,0,0,201,0,1,0,7,10,0,0,1,1,210,58,10,0,218,157,56,0,17,0,0,225,0,230,0,Removed duplicate manifestations with the same ISBN10/ISBN13
