date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,comment
2022-05-23,2023-11-13 15:39:27.980003,FR-NL,6891,6250,6252,6125,58,1817,0,0,4,13,1096,0,4,0,0,5970,111,0,2291,0,0,0,80,97,6088,58,1809,0,6322,1959,1335,569,0,0,No changes to previous version.
2022-05-23,2023-11-13 15:39:28.272953,NL-FR,3731,3204,3228,3249,1211,724,0,0,208,928,486,0,247,0,0,2687,149,0,1119,0,0,0,133,134,3149,1210,712,0,3645,1822,586,67,0,0,No changes to previous version.
2022-05-23,2023-11-13 15:39:28.448610,OTHER,236,190,190,230,65,11,0,0,2,59,10,0,3,0,0,201,1,0,9,0,0,0,1,1,215,65,11,0,230,158,56,0,0,0,No changes to previous version.
