date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2023-08-10,2024-04-26 16:35:48.211486,FR-NL,10151,7849,7854,7894,46,2296,2910,5973,2,4,17,1468,397,4,5,461,7735,0,1729,0,2882,2296,25,2004,1247,1268,7724,46,0,2909,9284,3621,1714,782,362,9243,0,10094,0,10121,0,Added corrections via a translation correlation list
2023-08-10,2024-04-26 16:35:48.737792,NL-FR,4728,3659,3682,3771,1178,748,1393,1921,61,194,943,479,161,228,260,178,3605,0,1526,0,1646,748,820,708,1311,1313,3495,1177,0,1393,4585,2469,658,92,97,4120,0,4704,0,4696,0,Added corrections via a translation correlation list
2023-08-10,2024-04-26 16:35:49.041840,OTHER,393,298,298,367,84,11,124,126,2,2,78,10,3,3,12,3,341,0,23,0,24,11,9,85,14,14,335,84,0,124,379,290,74,1,34,376,0,390,0,393,0,Added corrections via a translation correlation list
