date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withBnFAndKBIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,comment
2022-09-07,2022-12-23 15:39:12.116780,FR-NL,8553,7645,7650,7597,51,2330,4,13,1412,4,7388,151,2605,2330,0,101,119,7559,51,2321,7697,2418,1619,715,336,0,Added a KBR export of Belgian person authorities
2022-09-07,2022-12-23 15:39:12.371546,NL-FR,4065,3463,3487,3554,1209,775,210,933,503,247,2953,193,1200,775,0,171,173,3460,1208,763,3917,1929,632,69,83,0,Added a KBR export of Belgian person authorities
2022-09-07,2022-12-23 15:39:12.563504,OTHER,318,236,236,312,77,11,2,71,10,3,276,6,14,11,0,3,3,292,77,11,300,213,70,0,27,0,Added a KBR export of Belgian person authorities
