date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withBnFAndKBIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withKBRSourceTitle,withKBSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,comment
2022-05-03,2022-12-07 10:03:31.110496,FR-NL,6891,6250,6252,6125,58,1817,4,13,1096,4,5970,111,111,0,80,97,6088,58,1809,"Data integrated from KBR, BnF and KB based on ISBN10 and ISBN13 identifiers."
2022-05-03,2022-12-07 10:03:31.358176,NL-FR,3731,3204,3228,3249,1211,724,208,928,486,247,2687,149,149,0,133,134,3149,1210,712,"Data integrated from KBR, BnF and KB based on ISBN10 and ISBN13 identifiers."
2022-05-03,2022-12-07 10:03:31.502802,OTHER,236,190,190,230,65,11,2,59,10,3,201,1,1,0,1,1,215,65,11,"Data integrated from KBR, BnF and KB based on ISBN10 and ISBN13 identifiers."
