date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withMultipleSourceKBRIdentifiers,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2024-03-27,2024-08-26 16:02:21.085587,FR-NL,10410,8348,8355,8617,40,2074,3050,6741,1,3,22,1374,508,3,7,678,10390,1444,1794,6,4778,0,0,0,0,1334,1364,0,0,0,0,9279,3512,2157,919,390,9852,1795,10303,1839,10303,1839,Manual curations for finalization of history corpus and more location data
2024-03-27,2024-08-26 16:02:21.625804,NL-FR,4457,3700,3723,4041,1118,669,1356,2265,120,199,1011,509,236,218,368,264,4446,1472,1644,10,2497,0,0,0,0,1414,1416,0,0,0,0,4242,2316,746,97,96,4255,1641,4397,1626,4397,1626,Manual curations for finalization of history corpus and more location data
2024-03-27,2024-08-26 16:02:21.885751,OTHER,406,308,308,393,91,12,145,130,4,4,89,12,7,4,18,7,406,23,32,0,124,0,0,0,0,18,18,0,0,0,0,388,300,76,1,34,404,30,394,31,394,31,Manual curations for finalization of history corpus and more location data
