date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withMultipleSourceKBRIdentifiers,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourceYearOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2023-02-01,2025-08-14 17:15:44.740215,FR-NL,9084,7670,7677,7685,51,2256,1849,5833,2,4,13,1412,361,4,5,401,7459,0,1173,0,0,2693,2256,24,1366,972,993,7642,51,2247,1848,8265,3024,1626,699,353,8226,0,9028,0,0,9052,0,Added corrections via a contributor correlation list
2023-02-01,2025-08-14 17:15:46.818260,NL-FR,4340,3594,3618,3693,1212,774,1021,1875,69,206,930,504,177,242,273,188,3083,0,1117,0,0,1513,774,840,535,973,975,3598,1211,761,1021,4213,2149,644,71,92,3827,0,4318,0,0,4307,0,Added corrections via a contributor correlation list
2023-02-01,2025-08-14 17:15:47.758184,OTHER,341,253,253,330,76,11,87,123,2,2,70,10,3,3,11,3,295,0,18,0,0,21,11,10,67,11,11,305,76,11,87,327,245,72,0,31,331,0,338,0,0,341,0,Added corrections via a contributor correlation list
