date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withMultipleSourceKBRIdentifiers,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourceYearOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2025-09-23,2025-09-23 17:07:34.512481,FR-NL,10152,8525,8178,8989,39,1988,2635,7006,1,3,23,1473,528,3,7,660,10058,84,4228,22,8142,0,0,0,0,2900,2839,0,0,0,0,6254,3217,3844,1606,343,10001,3466,10053,4467,4177,10053,4177,More manual curation
2025-09-23,2025-09-23 17:07:35.200251,NL-FR,4651,3980,3948,4353,1130,664,1311,2374,128,209,1050,530,252,222,374,271,4619,74,3006,10,3489,0,0,0,0,2489,2484,0,0,0,0,3008,1911,866,100,49,4600,2817,4608,2886,2968,4608,2968,More manual curation
2025-09-23,2025-09-23 17:07:35.580375,OTHER,395,295,294,388,76,7,139,128,2,2,74,7,5,2,15,5,394,8,46,0,140,0,0,0,0,26,26,0,0,0,0,248,207,56,1,21,393,37,389,44,53,389,53,More manual curation
