date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2023-02-03,2024-06-29 00:15:47.213618,FR-NL,10011,7783,7790,7733,51,2285,2766,5861,2,4,13,1421,370,4,5,430,7615,0,1191,0,2726,2285,24,1915,989,1010,7700,51,2276,2765,9192,3626,1647,702,356,9154,0,9955,0,9979,0,Improved correlation lists for Unesco
2023-02-03,2024-06-29 00:15:48.444377,NL-FR,4671,3653,3677,3721,1210,774,1353,1872,68,204,929,502,176,240,272,189,3586,0,1393,0,1518,774,839,694,1211,1213,3653,1209,761,1353,4544,2426,645,74,95,4169,0,4649,0,4637,0,Improved correlation lists for Unesco
2023-02-03,2024-06-29 00:15:49.144203,OTHER,367,271,271,336,75,12,112,123,2,2,69,11,3,3,11,3,314,0,21,0,23,12,9,80,14,14,316,75,12,112,353,268,72,0,31,359,0,364,0,367,0,Improved correlation lists for Unesco
