date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2022-06-23,2024-03-28 09:50:17.061445,FR-NL,7752,7061,7065,7040,52,1983,0,5469,0,4,13,1310,0,4,0,0,6881,0,131,0,2489,1983,0,0,96,114,7005,52,1975,0,6956,2186,1480,652,304,0,0,7698,0,7734,0,No ISBN duplicate removal anymore to prevent data loss
2022-06-23,2024-03-28 09:50:17.728659,NL-FR,3897,3343,3367,3420,1207,728,0,1730,0,208,928,491,0,247,0,0,2847,0,190,0,1185,728,0,0,169,171,3322,1206,716,0,3753,1900,628,69,78,0,0,3875,0,3864,0,No ISBN duplicate removal anymore to prevent data loss
2022-06-23,2024-03-28 09:50:18.053175,OTHER,284,230,230,278,77,11,0,104,0,2,71,10,0,3,0,0,243,0,3,0,11,11,0,0,2,2,261,77,11,0,269,188,61,0,25,0,0,276,0,284,0,No ISBN duplicate removal anymore to prevent data loss
