date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withBnFAndKBIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,comment
2022-05-09,2022-12-23 18:13:45.461543,FR-NL,6891,6250,6252,6125,58,1817,4,13,1096,4,5970,111,2291,0,0,80,97,6088,58,1809,6322,1959,1335,569,0,0,"Data integrated from KBR, BnF and KB based on ISBN10 and ISBN13 identifiers. Additionally KBR original title from field 246."
2022-05-09,2022-12-23 18:13:45.776868,NL-FR,3731,3204,3228,3249,1211,724,208,928,486,247,2687,149,1119,0,0,133,134,3149,1210,712,3645,1822,586,67,0,0,"Data integrated from KBR, BnF and KB based on ISBN10 and ISBN13 identifiers. Additionally KBR original title from field 246."
2022-05-09,2022-12-23 18:13:45.906943,OTHER,236,190,190,230,65,11,2,59,10,3,201,1,9,0,0,1,1,215,65,11,230,158,56,0,0,0,"Data integrated from KBR, BnF and KB based on ISBN10 and ISBN13 identifiers. Additionally KBR original title from field 246."
