date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2023-10-09,2024-03-28 09:50:58.940828,FR-NL,10184,7859,7864,7924,46,2301,2946,5980,2,4,17,1483,408,4,5,472,7767,0,1766,5034,0,0,0,0,1276,1297,7867,46,0,2945,9314,3645,1723,785,362,9385,0,10127,0,10154,0,Added corrections and cluster information
2023-10-09,2024-03-28 09:50:59.569705,NL-FR,4731,3660,3683,3777,1177,747,1398,1913,61,193,934,487,162,228,261,178,3594,0,1540,2667,0,0,0,0,1321,1323,3715,1176,0,1398,4590,2487,661,91,97,4296,0,4707,0,4699,0,Added corrections and cluster information
2023-10-09,2024-03-28 09:50:59.967079,OTHER,398,302,302,374,84,11,125,126,2,2,78,10,3,3,12,3,349,0,24,114,0,0,0,0,15,15,353,84,0,125,384,297,75,1,35,389,0,395,0,398,0,Added corrections and cluster information
