date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2022-09-05,2024-07-30 09:27:26.850008,FR-NL,8501,7600,7605,7593,51,2281,0,5800,0,4,13,1411,0,4,0,0,7385,0,151,0,2604,2281,0,0,101,119,7555,51,2272,0,7648,2418,1616,712,336,0,0,8440,0,8478,0,Integration changes: dynamic SPARQL instead of files
2022-09-05,2024-07-30 09:27:27.302902,NL-FR,4030,3434,3458,3546,1209,742,0,1805,0,210,933,497,0,247,0,0,2946,0,193,0,1198,742,0,0,171,173,3452,1208,730,0,3882,1927,632,69,83,0,0,4006,0,3996,0,Integration changes: dynamic SPARQL instead of files
2022-09-05,2024-07-30 09:27:27.548578,OTHER,317,235,235,311,77,11,0,118,0,2,71,10,0,3,0,0,275,0,6,0,14,11,0,0,3,3,291,77,11,0,299,212,70,0,27,0,0,307,0,317,0,Integration changes: dynamic SPARQL instead of files
