date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withMultipleSourceKBRIdentifiers,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2023-02-02,2025-02-14 17:20:04.377585,FR-NL,9093,7680,7687,7694,51,2256,1848,5838,2,4,13,1412,361,4,5,401,7577,0,1177,0,0,2697,2256,24,1365,976,997,7669,51,2247,1847,8274,3066,1640,702,353,8236,0,9037,0,9061,0,New export from KBR
2023-02-02,2025-02-14 17:20:05.257586,NL-FR,4337,3593,3617,3691,1210,771,1018,1870,68,204,929,501,175,240,272,186,3570,0,1393,0,0,1516,771,839,533,1211,1213,3625,1209,758,1018,4210,2166,645,74,93,3835,0,4315,0,4303,0,New export from KBR
2023-02-02,2025-02-14 17:20:05.630445,OTHER,344,256,256,333,75,12,89,122,2,2,69,11,3,3,11,3,311,0,21,0,0,23,12,9,69,14,14,313,75,12,89,330,249,72,0,31,336,0,341,0,344,0,New export from KBR
