date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withMultipleSourceKBRIdentifiers,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourceYearOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2024-06-28,2025-08-14 17:16:33.527382,FR-NL,10092,8393,8399,8711,39,2049,2686,6806,1,3,21,1381,517,3,7,683,10050,81,2912,10,5738,0,0,0,0,1424,1455,0,0,0,0,8947,3875,2220,925,398,9793,1603,9987,1050,2875,9987,2875,New correlation lists
2024-06-28,2025-08-14 17:16:35.235069,NL-FR,4726,4028,4051,4367,1117,678,1301,2395,125,202,1020,519,244,216,370,265,4696,66,2074,9,3142,0,0,0,0,1480,1482,0,0,0,0,4315,2406,978,98,97,4543,927,4666,339,2026,4666,2026,New correlation lists
2024-06-28,2025-08-14 17:16:36.248103,OTHER,381,292,292,374,79,10,134,122,4,4,76,10,7,4,17,7,381,15,43,1,132,0,0,0,0,16,16,0,0,0,0,363,290,73,0,33,372,16,370,6,42,370,42,New correlation lists
