date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withCollection,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceBBThesaurusID,withSourceKBRIdentifier,withSourceTitle,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,withIntegratedSourcePublisher,withTargetPlaceOfPublication,withSourcePlaceOfPublication,withTargetCountryOfPublication,withSourceCountryOfPublication,comment
2022-07-20,2024-06-29 00:15:10.176240,FR-NL,8254,7400,7405,7524,51,2082,0,5760,0,4,13,1390,0,4,0,0,7332,0,149,0,2575,2082,0,0,99,117,7486,51,2074,0,7401,2390,1594,712,329,0,0,8196,0,8236,0,Fixed error in ISNI-SRU integration SPARQL query.
2022-07-20,2024-06-29 00:15:11.039066,NL-FR,4009,3421,3445,3532,1209,735,0,1798,0,210,933,497,0,247,0,0,2936,0,193,0,1197,735,0,0,171,173,3434,1208,723,0,3862,1920,632,69,82,0,0,3987,0,3976,0,Fixed error in ISNI-SRU integration SPARQL query.
2022-07-20,2024-06-29 00:15:11.532373,OTHER,315,234,234,309,77,11,0,117,0,2,71,10,0,3,0,0,273,0,4,0,12,11,0,0,2,2,289,77,11,0,297,212,70,0,27,0,0,305,0,315,0,Fixed error in ISNI-SRU integration SPARQL query.
