date,measurementTime,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withUnescoIdentifier,withKBRBnFKBAndUnescoIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withKBRAndUnescoIdentifier,withBnFAndKBIdentifier,withBnFAndUnescoIdentifier,withKBAndUnescoIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withKBRSourceTitle,withKBSourceTitle,withBnFSourceTitle,withUnescoSourceTitle,withSourceISBN10,withSourceISBN13,withKBRPublisher,withBnFPublisher,withKBPublisher,withUnescoPublisher,withIntegratedAuthor,withIntegratedTranslator,withIntegratedIllustrator,withIntegratedScenarist,withIntegratedPublishingDirector,withIntegratedPublisher,comment
2022-09-12,2023-09-04 16:19:20.582142,FR-NL,8579,7662,7669,7614,51,2339,0,0,4,13,1412,0,4,0,0,7399,1062,2604,2339,0,0,898,917,7575,51,2330,0,7724,2425,1624,712,339,0,New export from KBR
2022-09-12,2023-09-04 16:19:20.914181,NL-FR,4094,3491,3515,3577,1211,777,0,0,210,929,505,0,247,0,0,2982,676,1200,777,0,0,616,618,3483,1210,765,0,3943,1951,636,69,86,0,New export from KBR
2022-09-12,2023-09-04 16:19:21.081820,OTHER,332,247,247,326,77,11,0,0,2,71,10,0,3,0,0,290,12,16,11,0,0,7,7,305,77,11,0,313,223,73,0,30,0,New export from KBR
