date,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withKBRSourceTitle,withKBSourceTitle,withSourceISBN10,withSourceISBN13,comment
2022-05-23 11:24:43.870962,FR-NL,6891,6250,6252,6125,58,1817,5970,111,2291,0,80,97,No changes to previous version.
2022-05-23 11:24:44.123541,NL-FR,3731,3204,3228,3249,1211,724,2687,149,1119,0,133,134,No changes to previous version.
2022-05-23 11:24:44.220779,OTHER,236,190,190,230,65,11,201,1,9,0,1,1,No changes to previous version.
