date,corpus,numberTranslations,withTargetISBN10,withTargetISBN13,withKBRIdentifier,withBnFIdentifier,withKBIdentifier,withKBRBnFAndKBIdentifier,withKBRAndBnFIdentifier,withKBRAndKBIdentifier,withBnFAndKBIdentifier,withBBThesaurusID,withSourceKBRIdentifier,withKBRSourceTitle,withKBSourceTitle,withSourceISBN10,withSourceISBN13,comment
2022-06-24 14:30:52.262214,FR-NL,7752,7061,7065,7040,52,1983,4,13,1310,4,6881,131,2489,1983,96,114,No ISBN duplicate removal anymore to prevent data loss
2022-06-24 14:30:52.534531,NL-FR,3897,3343,3367,3420,1207,728,208,928,491,247,2847,190,1185,728,169,171,No ISBN duplicate removal anymore to prevent data loss
2022-06-24 14:30:52.791451,OTHER,284,230,230,278,77,11,2,71,10,3,243,3,11,11,2,2,No ISBN duplicate removal anymore to prevent data loss
